pnl_net,equity,drawdown
-0.06960724949118643,-0.06960724949118643,0.0
-0.19796327410399925,-0.2675705235951857,-0.19796327410399925
-0.7374793637087877,-1.0050498873039735,-0.935442637812787
-0.30292077446397697,-1.3079706617679505,-1.2383634122767642
-0.3612073103832042,-1.6691779721511546,-1.5995707226599682
-0.28212940000000875,-1.9513073721511633,-1.881700122659977
-0.45835005980798704,-2.4096574319591504,-2.340050182467964
-0.29019434065438954,-2.69985177261354,-2.6302445231223537
-0.10920627765600127,-2.8090580502695413,-2.739450800778355
-0.09823415457920066,-2.907292204848742,-2.8376849553575556
-0.13097254801677652,-3.0382647528655187,-2.9686575033743323
-0.09483157724797439,-3.133096330113493,-3.0634890806223067
-0.40998359999995804,-3.5430799301134512,-3.473472680622265
-0.32277000974401826,-3.8658499398574695,-3.796242690366283
-0.19993958060799516,-4.065789520465465,-3.9961822709742787
-0.3044149743199922,-4.370204494785457,-4.300597245294271
-0.379271792899984,-4.749476287685441,-4.679869038194255
-0.270009616464009,-5.01948590414945,-4.949878654658264
-0.7862895898799791,-5.8057754940294295,-5.736168244538243
-0.1424098259167857,-5.948185319946215,-5.878578070455029
-0.188337199999984,-6.136522519946199,-6.066915270455013
-0.40202042908800073,-6.5385429490342,-6.468935699543014
-0.20006078060799207,-6.738603729642192,-6.668996480151006
-0.16045245035519415,-6.899056179997387,-6.8294489305062
-1.3091933737063077,-8.208249553703695,-8.138642304212508
-0.19452598060801363,-8.402775534311708,-8.333168284820522
-0.2134791820479774,-8.616254716359686,-8.5466474668685
-0.13612027822077077,-8.752374994580457,-8.68276774508927
-0.395036445935994,-9.14741144051645,-9.077804191025264
-0.4791274680815889,-9.62653890859804,-9.556931659106853
-0.16036797039357914,-9.78690687899162,-9.717299629500433
-0.44452943897599084,-10.23143631796761,-10.161829068476424
-0.13743783959359696,-10.368874157561207,-10.29926690807002
-0.29899636422398274,-10.66787052178519,-10.598263272294004
-0.4753166448800029,-11.143187166665193,-11.073579917174007
-0.18036809445598856,-11.323555261121182,-11.253948011629996
-0.19277207942243596,-11.516327340543619,-11.446720091052432
-0.2550451951520015,-11.77137253569562,-11.701765286204434
-0.18449807815034186,-11.955870613845963,-11.886263364354777
-0.2927023999999751,-12.248573013845938,-12.178965764354752
-0.18279847539998362,-12.431371489245922,-12.361764239754736
-0.3616917623000101,-12.793063251545933,-12.723456002054746
-0.16671980601602793,-12.95978305756196,-12.890175808070774
-0.18426107523358637,-13.144044132795546,-13.07443688330436
-0.24502449124001652,-13.389068624035563,-13.319461374544376
-0.1206289878815585,-13.50969761191712,-13.440090362425934
-0.3561058193919776,-13.865803431309098,-13.796196181817912
-0.48198306662398954,-14.347786497933088,-14.278179248441901
-0.06553236678398695,-14.413318864717075,-14.343711615225889
-0.1313937425231786,-14.544712607240253,-14.475105357749067
-0.36723701967997624,-14.91194962692023,-14.842342377429043
-0.2716752940719893,-15.18362492099222,-15.114017671501033
-0.2044388399999908,-15.38806376099221,-15.318456511501024
-0.15630296427358015,-15.54436672526579,-15.474759475774604
-0.387309446999965,-15.931676172265755,-15.862068922774569
-0.17187847371997428,-16.103554645985728,-16.03394739649454
-0.1519499344048324,-16.25550458039056,-16.185897330899373
0.08939477519199229,-16.16610980519857,-16.09650255570738
-0.22250786017595525,-16.388617665374525,-16.319010415883337
-0.25187687644000023,-16.640494541814526,-16.570887292323338
-0.18755549603998728,-16.828050037854513,-16.758442788363325
-0.14657776440479608,-16.97462780225931,-16.90502055276812
-0.17313446831999904,-17.14776227057931,-17.078155021088122
-0.32201919112799327,-17.469781461707303,-17.400174212216115
-0.4573800431999732,-17.927161504907275,-17.857554255416087
-0.13341596543998135,-18.060577470347255,-17.990970220856067
-0.18915117062398762,-18.24972864097124,-18.180121391480053
0.3970776701360031,-17.85265097083524,-17.78304372134405
-0.12743566444798304,-17.98008663528322,-17.910479385792033
-0.42366965088960207,-18.403756286172822,-18.334149036681634
-0.8167489229087921,-19.220505209081615,-19.150897959590427
-0.09635085667998594,-19.316856065761602,-19.247248816270414
-2.0728998312799862,-21.38975589704159,-21.3201486475504
-0.16872983492158292,-21.55848573196317,-21.488878482471982
1.4104893914400076,-20.147996340523164,-20.078389091031976
-0.2903979999999427,-20.438394340523107,-20.36878709103192
-0.14667021435917238,-20.58506455488228,-20.51545730539109
-0.37805120000000125,-20.96311575488228,-20.893508505391093
-0.13813703920477083,-21.101252794087053,-21.031645544595865
-0.2865528599999904,-21.387805654087042,-21.318198404595854
-0.4415904328320279,-21.829396086919072,-21.759788837427884
-0.17376809128798607,-22.003164178207058,-21.93355692871587
-0.2784209999999784,-22.281585178207035,-22.211977928715847
-0.05686249245604147,-22.338447670663076,-22.268840421171888
-0.2456443898239662,-22.58409206048704,-22.514484810995853
-0.21828510622560998,-22.802377166712652,-22.732769917221464
-0.13706117731601453,-22.939438344028666,-22.869831094537478
-0.16774476721599726,-23.107183111244662,-23.037575861753474
-0.11925957828476907,-23.22644268952943,-23.156835440038243
-0.138002914347985,-23.364445603877417,-23.29483835438623
-0.08747453831997717,-23.451920142197395,-23.382312892706206
-0.17507942163599022,-23.626999563833383,-23.557392314342195
-0.5476925252943823,-24.174692089127767,-24.10508483963658
-0.9334881536175801,-25.108180242745348,-25.03857299325416
-1.163668986912002,-26.27184922965735,-26.20224198016616
-0.2058055825280079,-26.477654812185357,-26.40804756269417
-0.3295165140951883,-26.807171326280546,-26.737564076789358
-0.14750020981439374,-26.95467153609494,-26.88506428660375
-0.24478556155194486,-27.199457097646885,-27.129849848155697
-0.31315811999998,-27.512615217646864,-27.443007968155676
-0.21308986501438132,-27.725705082661246,-27.656097833170058
-0.3405965348296082,-28.066301617490854,-27.996694367999666
-0.43148199999998876,-28.497783617490843,-28.428176367999654
-0.2934680456105004,-28.79125166310134,-28.721644413610154
-0.37075768078271953,-29.162009343884062,-29.092402094392874
-0.3516895884799933,-29.513698932364054,-29.444091682872866
-0.38751599999997455,-29.901214932364027,-29.83160768287284
-0.4063211999999927,-30.30753613236402,-30.237928882872833
-0.3025199000000065,-30.610056032364028,-30.54044878287284
-0.2446099615040016,-30.85466599386803,-30.78505874437684
-0.24978178987199917,-31.104447783740028,-31.03484053424884
-0.3580575900159834,-31.462505373756013,-31.392898124264825
-0.32248730770396516,-31.78499268145998,-31.71538543196879
-0.6212681746343334,-32.40626085609431,-32.33665360660313
-0.3616033298863549,-32.76786418598067,-32.698256936489486
-0.3294446840879735,-33.097308870068645,-33.02770162057746
-0.22857628480800027,-33.325885154876644,-33.25627790538546
-0.33462247655197214,-33.660507631428615,-33.59090038193743
-0.4184045502621605,-34.078912181690775,-34.00930493219959
0.25903116902402307,-33.819881012666755,-33.75027376317557
-0.20672594748556683,-34.02660696015232,-33.95699971066114
-0.30118739999997923,-34.3277943601523,-34.25818711066112
-0.6158241186799948,-34.9436184788323,-34.874011229341114
-0.4046651999999947,-35.348283678832296,-35.27867642934111
-0.5123934832640114,-35.86067716209631,-35.791069912605124
-0.39558527999999793,-36.25626244209631,-36.18665519260512
-0.40357478000000324,-36.659837222096314,-36.59022997260513
-0.40061918399997476,-37.060456406096286,-36.9908491566051
-0.20667042747116293,-37.267126833567445,-37.19751958407626
-0.15550506418560378,-37.42263189775305,-37.353024648261865
-0.1406618362799671,-37.56329373403302,-37.49368648454183
-0.4316385999999752,-37.994932334032995,-37.92532508454181
-0.29332436340542095,-38.28825669743841,-38.21864944794723
-0.29185519999997434,-38.580111897438385,-38.5105046479472
-0.16911916563198331,-38.74923106307037,-38.679623813579184
-0.30103199999996266,-39.05026306307033,-38.98065581357915
-0.3884846799999517,-39.43874774307029,-39.3691404935791
-0.2790319999999904,-39.71777974307028,-39.6481724935791
-0.38263679999996636,-40.100416543070246,-40.03080929357906
-0.30424952000000005,-40.404666063070245,-40.33505881357906
-0.4425181589087871,-40.847184221979035,-40.77757697248785
-0.24489836140793542,-41.09208258338697,-41.022475333895784
-0.34772478771200466,-41.43980737109897,-41.37020012160779
-0.4057785300000077,-41.84558590109898,-41.775978651607794
-0.567978040166385,-42.413563941265366,-42.34395669177418
-0.5126744000000142,-42.92623834126538,-42.8566310917742
-0.8909356155599878,-43.81717395682537,-43.74756670733419
-0.5072860165559838,-44.32445997338135,-44.25485272389017
-0.30936060000000937,-44.633820573381364,-44.56421332389018
-0.6327590130579106,-45.26657958643928,-45.19697233694809
-0.2988143999999646,-45.56539398643924,-45.495786736948055
-0.30405759999999576,-45.86945158643923,-45.79984433694805
-0.40489439999999777,-46.27434598643923,-46.204738736948045
-0.393579048816001,-46.66792503525523,-46.598317785764046
-0.4003777400000085,-47.06830277525524,-46.998695525764056
-0.2616095669759775,-47.32991234223122,-47.26030509274003
-0.5263358715359518,-47.85624821376717,-47.78664096427598
-0.44639994640634073,-48.302648160173504,-48.23304091068232
-0.18919179999997615,-48.49183996017348,-48.422232710682295
-0.3191159087999688,-48.81095586897345,-48.74134861948227
-1.4444462232959743,-50.25540209226943,-50.18579484277824
-0.3853440207359997,-50.64074611300543,-50.57113886351424
