pnl,score,entry_efficiency,entry_delay,slippage,mfe,mae,profit_capture_ratio
-0.06960724949118643,0.32385211796294194,1.0,0,,0.0007000000000000339,0.0,-99.43892784454722
-0.19796327410399925,0.4566537476422856,1.0,0,,0.12999999999999545,-0.28999999999999204,-1.522794416184663
-0.7374793637087877,0.4566537476422856,1.0,0,,0.0,-0.5200000000000102,
-0.30292077446397697,0.5349763630442276,1.0,0,,0.00019999999999997797,-0.00020000000000003348,-1514.6038723200518
-0.3612073103832042,0.3913781356305902,1.0,0,,0.0,-8.000000000000368e-05,
-0.28212940000000875,0.4022439472722752,,0,,0.0,0.0,
-0.45835005980798704,0.35669807168469625,1.0,0,,9.999999999998899e-05,-0.0014000000000000123,-4583.500598080375
-0.29019434065438954,0.3434710219580873,1.0,0,,0.012000000000000455,-0.05000000000000071,-24.18286172119821
-0.10920627765600127,0.3392723956144714,1.0,0,,0.0004999999999999449,0.0,-218.4125553120266
-0.09823415457920066,0.3434710219580873,1.0,0,,0.03200000000000003,0.0,-3.069817330600018
-0.13097254801677652,0.4566537476422856,1.0,0,,0.21000000000000796,-0.030000000000001137,-0.6236788000798645
-0.09483157724797439,0.30466642644081976,1.0,0,,0.0006000000000000449,0.0,-158.05262874661216
-0.40998359999995804,0.5361724282598392,1.0,0,,0.0,-0.00019999999999997797,
-0.32277000974401826,0.4022439472722752,1.0,0,,0.0,-0.000200000000000089,
-0.19993958060799516,0.39887644187122356,1.0,0,,0.00040000000000006697,0.0,-499.84895151990423
-0.3044149743199922,0.5387942598351533,1.0,0,,0.00019999999999997797,0.0,-1522.0748716001287
-0.379271792899984,0.33454149535813343,1.0,0,,0.0,-0.04400000000000048,
-0.270009616464009,0.3358805843432995,1.0,0,,9.999999999998899e-05,-0.00030000000000002247,-2700.0961646403875
-0.7862895898799791,0.5387942598351533,1.0,0,,0.0,-0.0006999999999999784,
-0.1424098259167857,0.33454149535813343,1.0,0,,0.018000000000000682,-0.0030000000000001137,-7.911656995376683
-0.188337199999984,0.300215996462442,,0,,0.0,0.0,
-0.40202042908800073,0.39887644187122356,1.0,0,,0.0,-0.0006000000000000449,
-0.20006078060799207,0.40166434421968533,1.0,0,,0.00040000000000006697,0.0,-500.15195151989644
-0.16045245035519415,0.4079836294129007,1.0,0,,0.1599999999999966,0.0,-1.0028278147199847
-1.3091933737063077,0.4671435046720455,1.0,0,,0.0,-0.00037999999999999146,
-0.19452598060801363,0.3891878368474792,1.0,0,,0.0007999999999999119,-0.00029999999999996696,-243.1574757600438
-0.2134791820479774,0.4179946485639269,1.0,0,,0.00020000000000003348,-9.999999999998899e-05,-1067.3959102397082
-0.13612027822077077,0.4671435046720455,1.0,0,,0.00017000000000000348,0.0,-800.707518945694
-0.395036445935994,0.3427113800295829,1.0,0,,0.010000000000001563,-0.05799999999999983,-39.50364459359323
-0.4791274680815889,0.3968505168065106,1.0,0,,0.0,-7.000000000000062e-05,
-0.16036797039357914,0.4079836294129007,1.0,0,,0.160000000000025,-0.19999999999998863,-1.0022998149597129
-0.44452943897599084,0.40166434421968533,1.0,0,,0.0,-0.0004999999999999449,
-0.13743783959359696,0.45692692880771474,1.0,0,,0.0006000000000000449,0.0,-229.0630659893111
-0.29899636422398274,0.3391969296807761,1.0,0,,0.0007999999999999674,-0.0005000000000000004,-373.7454552799936
-0.4753166448800029,0.4179946485639269,1.0,0,,0.0,-0.0005000000000000004,
-0.18036809445598856,0.3427113800295829,1.0,0,,0.007999999999999119,-0.003999999999997783,-22.546011807001054
-0.19277207942243596,0.3968505168065106,1.0,0,,2.9999999999995308e-05,-3.0000000000002247e-05,-6425.73598074887
-0.2550451951520015,0.3891878368474792,1.0,0,,0.00019999999999997797,-0.0007999999999999119,-1275.225975760148
-0.18449807815034186,0.4460738834296361,1.0,0,,0.20000000000001705,-0.09999999999999432,-0.9224903907516306
-0.2927023999999751,0.42707754240902784,,0,,0.0,0.0,
-0.18279847539998362,0.41079948621727636,1.0,0,,0.000500000000000056,0.0,-365.59695079992633
-0.3616917623000101,0.4671435046720455,1.0,0,,0.0,-6.0000000000004494e-05,
-0.16671980601602793,0.4624536363023005,1.0,0,,0.0004999999999999449,0.0,-333.43961203209255
-0.18426107523358637,0.34436765384129,1.0,0,,0.006000000000000227,-0.012999999999998124,-30.710179205596564
-0.24502449124001652,0.40299537166842225,1.0,0,,9.999999999998899e-05,0.0,-2450.244912400435
-0.1206289878815585,0.4460738834296361,1.0,0,,0.4199999999999875,0.0,-0.2872118759084812
-0.3561058193919776,0.38851046501631137,1.0,0,,0.0,-0.0007999999999999119,
-0.48198306662398954,0.34416152551550916,1.0,0,,0.0,-0.0005000000000000004,
-0.06553236678398695,0.34416152551550916,1.0,0,,0.00040000000000001146,0.0,-163.83091695996268
-0.1313937425231786,0.34436765384129,1.0,0,,0.022000000000002018,0.0,-5.972442841962115
-0.36723701967997624,0.41079948621727636,1.0,0,,0.0,-0.00039999999999995595,
-0.2716752940719893,0.4360703957135892,1.0,0,,9.999999999998899e-05,0.0,-2716.7529407201923
-0.2044388399999908,0.34420834444393,1.0,0,,0.022999999999999687,0.0,-8.888645217391025
-0.15630296427358015,0.45506465746734487,1.0,0,,0.18000000000000682,-0.03999999999999204,-0.8683498015198567
-0.387309446999965,0.38851046501631137,1.0,0,,0.00039999999999995595,-0.00039999999999995595,-968.2736175000191
-0.17187847371997428,0.40299537166842225,1.0,0,,0.00030000000000002247,-9.999999999998899e-05,-572.9282457332047
-0.1519499344048324,0.45506465746734487,1.0,0,,0.3199999999999932,-0.4399999999999977,-0.4748435450151114
0.08939477519199229,0.3331342201529548,1.0,0,,0.0008999999999999564,0.0,99.32752799110736
-0.22250786017595525,0.45506465746734487,1.0,0,,0.160000000000025,0.0,-1.390674126099503
-0.25187687644000023,0.38416485561178637,1.0,0,,0.00029999999999996696,0.0,-839.5895881334266
-0.18755549603998728,0.34420834444393,1.0,0,,0.009000000000000341,-0.02699999999999747,-20.839499559997797
-0.14657776440479608,0.3650535796510658,1.0,0,,0.01899999999999835,-0.004000000000001336,-7.714619179200463
-0.17313446831999904,0.45545453112585643,1.0,0,,0.1599999999999966,0.0,-1.0820904270000171
-0.32201919112799327,0.3115917444661672,1.0,0,,0.0,-0.00010000000000000286,
-0.4573800431999732,0.39312764499168273,1.0,0,,0.0,-0.0005000000000000004,
-0.13341596543998135,0.39312764499168273,1.0,0,,0.00040000000000001146,0.0,-333.5399135999438
-0.18915117062398762,0.3947877882653569,1.0,0,,0.0012000000000000066,0.0,-157.6259755199888
0.3970776701360031,0.3280297751150836,1.0,0,,0.0018000000000000238,0.0,220.5987056311099
-0.12743566444798304,0.3115917444661672,1.0,0,,5.000000000000837e-05,0.0,-2548.713288959234
