pnl,volatility,atr,trend_strength
-0.06960724949118643,0.0012931830777757878,,0.8238521179629419
-0.19796327410399925,0.0022802540854551688,,0.9566537476422856
-0.7374793637087877,0.002826240556552042,,0.9566537476422856
-0.30292077446397697,0.0010395010395010693,,1.0
-0.3612073103832042,0.0016400164001640772,,0.8913781356305902
-0.28212940000000875,0.0,,0.9022439472722752
-0.45835005980798704,0.0051124744376278165,,0.8566980716846962
-0.29019434065438954,0.0020097896204091274,,0.8434710219580873
-0.10920627765600127,0.000920810313075405,,0.8392723956144714
-0.09823415457920066,0.0010381857703662858,,0.8434710219580873
-0.13097254801677652,0.0013078306359326963,,0.9566537476422856
-0.09483157724797439,0.0009993337774817537,,0.8046664264408198
-0.40998359999995804,0.000520020800831976,,1.0
-0.32277000974401826,0.00028781119585564687,,0.9022439472722752
-0.19993958060799516,0.0005754567688103394,,0.8988764418712236
-0.3044149743199922,0.000520020800831976,,1.0
-0.379271792899984,0.0014250089063056802,,0.8345414953581334
-0.270009616464009,0.0013628620102215043,,0.8358805843432995
-0.7862895898799791,0.0018205461638490985,,1.0
-0.1424098259167857,0.0006810884441994226,,0.8345414953581334
-0.188337199999984,0.0,,0.800215996462442
-0.40202042908800073,0.0008635578583765759,,0.8988764418712236
-0.20006078060799207,0.00057520851308609,,0.9016643442196853
-0.16045245035519415,0.0008703220191470659,,0.9079836294129007
-1.3091933737063077,0.0025137262684394486,,0.9671435046720456
-0.19452598060801363,0.0008068065131288535,,0.8891878368474793
-0.2134791820479774,0.0007782101167315758,,0.9179946485639269
-0.13612027822077077,0.0011217419993401747,,0.9671435046720456
-0.395036445935994,0.0022018586277240356,,0.8427113800295829
-0.4791274680815889,0.0014382576535853836,,0.8968505168065106
-0.16036797039357914,0.001957372770769974,,0.9079836294129007
-0.44452943897599084,0.0007199424046075521,,0.9016643442196853
-0.13743783959359696,0.0011017260374587678,,0.9569269288077147
-0.29899636422398274,0.004415760869565109,,0.8391969296807761
-0.4753166448800029,0.0012980269989615796,,0.9179946485639269
-0.18036809445598856,0.00038929440389284353,,0.8427113800295829
-0.19277207942243596,0.0012310217480508321,,0.8968505168065106
-0.2550451951520015,0.000733837234901218,,0.8891878368474793
-0.18449807815034186,0.001631498803567606,,0.946073883429636
-0.2927023999999751,0.0,,0.9270775424090278
-0.18279847539998362,0.0007182876023560636,,0.9107994862172764
-0.3616917623000101,0.00039627501486034274,,0.9671435046720456
-0.16671980601602793,0.0009189487226611742,,0.9624536363023005
-0.18426107523358637,0.0006162628523239062,,0.84436765384129
-0.24502449124001652,0.0002592688618096681,,0.9029953716684223
-0.1206289878815585,0.0022823606129767824,,0.946073883429636
